name_code,kingdom,kingdom_c,phylum,phylum_c,class,class_c,order,order_c,family,family_c,genus,genus_c,name,species,infraspecies_marker,infraspecies,infraspecies2_marker,infraspecies2,author,author2,common_name_c,is_alien,is_invasive,is_cultivated,is_endemic,cites_code,iucn_code,coa_code
316573,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Bradybaenidae,扁蝸牛科,Bradybaena,,Bradybaena similaris,similaris,,,,,"(Férussac, 1821)",,扁蝸牛,1,1,0,,,,
331973,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Coleoptera,鞘翅目,Chrysomelidae,金花蟲科,Brontispa,,Brontispa longissima,longissima,,,,,"(Grestro, 1885)",,紅胸長扁鐵甲蟲,1,1,0,,,,
426961,Animalia,動物界,Nematoda,圓形動物門,Secernentea,胞管腎綱,Aphelenchida,滑刃目,Parasitaphelenchidae,寄生滑刃科,Bursaphelenchus,,Bursaphelenchus xylophilus,xylophilus,,,,,(Steiner &amp; Buhrer) Nickle,,松材線蟲,1,1,0,,,,
419414,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Psittaciformes,鸚形目,Cacatuidae,鳳頭鸚鵡科,Cacatua,,Cacatua galerita,galerita,,,,,"(Latham, 1790)",,葵花鳳頭鸚鵡;大葵,1,1,0,,,LC,II
419415,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Psittaciformes,鸚形目,Cacatuidae,鳳頭鸚鵡科,Cacatua,,Cacatua goffiniana,goffiniana,,,,,"C. S. Roselaar &amp; Michaels, 2004",,戈芬氏鳳頭鸚鵡;小巴,1,1,0,,,NT,I
419416,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Psittaciformes,鸚形目,Cacatuidae,鳳頭鸚鵡科,Cacatua,,Cacatua moluccensis,moluccensis,,,,,"(Gmelin, 1788)",,鮭色鳳頭鸚鵡,1,1,0,,,VU,I
403968,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hemiptera,半翅目,Psyllidae,木蝨科,Cacopsylla,,Cacopsylla chinensis,chinensis,,,,,"(Yang &amp; Li, 1981)",,中國梨木蝨,1,1,0,,,,
434632,Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Carnivora,食肉目,Canidae,犬科,Canis,,Canis lupus familiaris,lupus,subsp.,familiaris,,,"Linnaeus, 1758",,犬;狗,1,1,0,,,,
381002,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Cyprinidae,鯉科,Carassius,,Carassius cuvieri,cuvieri,,,,,"Temminck &amp; Schlegel, 1846",,高身鯽;日本鯽;鯽仔;屈氏鯽,1,1,0,,,EN,
438268,Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Chamaeleonidae,變色龍科,Chamaeleo,,Chamaeleo calyptratus,calyptratus,,,,,"Duméril &amp; Duméril, 1851",,高冠變色龍,1,1,0,,,LC,
395665,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Channidae,鱧科,Channa,,Channa micropeltes,micropeltes,,,,,"(Cuvier, 1831)",,小盾鱧;紅鱧;紅線鱧;紅利魚;紅麗魚;大鉛筆魚;金筆;鉛筆雷龍;魚虎;淡水老虎;多曼魚,1,1,0,,,LC,
395408,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Channidae,鱧科,Channa,,Channa striata,striata,,,,,"(Bloch, 1793)",,線鱧;紋鱧;泰國鱧;泰國魚虎;泰國鮕鮘;虎斑雷龍;白金海象;白金雷龍;黃金雷龍;金雷龍魚,1,1,0,,,LC,
417686,Animalia,動物界,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Parastacidae,擬螯蝦科,Cherax,,Cherax quadricarinatus,quadricarinatus,,,,,"(Von Martens, 1868)",,四脊滑螯蝦;澳洲淡水龍蝦;紅螯螯蝦;小青龍;藍龍,1,1,0,,,LC,
419410,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Osteoglossiformes,骨舌魚目,Notopteridae,弓背魚科,Chitala,,Chitala ornata,ornata,,,,,"(Gray, 1831)",,飾妝鎧弓魚,1,1,0,,,LC,
395352,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Cichlidae,麗魚科,Cichla,,Cichla ocellaris,ocellaris,,,,,"Bloch &amp; Schneider, 1801",,眼點麗魚;皇冠三間,1,1,0,,,,
381003,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Cyprinidae,鯉科,Cirrhinus,,Cirrhinus molitorella,molitorella,,,,,"(Valenciennes, 1844)",,鯁;鯪;青鱗魚;土鯪;鯪公;鯪魚;鯪仔魚;花鯪仔,1,1,0,,,NT,
395224,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Siluriformes,鯰形目,Clariidae,鬍鯰科,Clarias,,Clarias batrachus,batrachus,,,,,"(Linnaeus, 1758)",,蟾鬍鯰;土殺;泰國土虱;塘虱魚;泰國鯰;念仔魚;鰱仔;本土鯰;泰國塘虱;南洋土虱;秤仔花;小丑武士;花土虱;奶牛鯰,1,1,0,,,LC,
447754,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Siluriformes,鯰形目,Clariidae,鬍鯰科,Clarias,,Clarias gariepinus,gariepinus,,,,,"(Burchell, 1822)",,尖齒鬍鯰;北非鬍子鯰;北非塘虱魚;非洲塘虱魚,1,1,0,,,,
404566,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Columbiformes,鴿形目,Columbidae,鳩鴿科,Columba,,Columba livia,livia,,,,,"Gmelin, 1789",,岩鴿;野鴿,1,1,0,,,LC,
419423,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Muscicapidae,鶲科,Copsychus,,Copsychus malabaricus,malabaricus,,,,,"(Scopoli, 1786)",,白腰鵲鴝;長尾四喜,1,1,0,,,,
Fis-440,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Perciformes,鱸形目,Cichlidae,麗魚科,Coptodon,,Coptodon zillii,zillii,,,,,"(Gervais, 1848)",,吉利慈鯛;齊氏分齒麗魚;齊氏非鯽;吉利非鯽;吉利外鯽;齊氏羅非魚;吉利吳郭魚;吉利福壽魚;吉利羅非魚;紅腹吳郭魚;紅腹羅非魚,1,1,0,,,LC,
340851,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hymenoptera,膜翅目,Braconidae,小繭蜂科,Cotesia,,Cotesia erionotae,erionotae,,,,,"(Wilkinson, 1938)",,香蕉挵蝶絨繭蜂,1,1,0,,,,
332671,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Coleoptera,鞘翅目,Coccinellidae,瓢蟲科,Cryptolaemus,,Cryptolaemus montrouzieri,montrouzieri,,,,,"Mulsant, 1853",,孟氏隱唇瓢蟲,1,1,0,,,,
381004,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Cyprinidae,鯉科,Ctenopharyngodon,,Ctenopharyngodon idella,idella,,,,,"(Valenciennes, 1844)",,草魚;鯇;鯤;池魚;草根魚,1,1,0,,,,
418258,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Coleoptera,鞘翅目,Coccinellidae,瓢蟲科,Curinus,,Curinus coeruleus,coeruleus,,,,,"(Mulsant, 1850)",,瓢蟲,1,1,0,,,,
417618,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hymenoptera,膜翅目,Braconidae,小繭蜂科,Dacnusa,,Dacnusa sibirica,sibirica,,,,,"Telenga, 1935",,反顎繭蜂,1,1,0,,,,
438447,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Beloniformes,鶴鱵目,Hemiramphidae,鱵科,Dermogenys,,Dermogenys siamensis,siamensis,,,,,"Fowler, 1934",,暹羅皮頦鱵,1,1,0,,,LC,
405139,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Agriolimacidae,野蛞蝓科,Deroceras,,Deroceras laeve,laeve,,,,,"(Müller, 1774)",,光滑野蛞蝓,1,1,0,,,,
405132,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Agriolimacidae,野蛞蝓科,Deroceras,,Deroceras reticulatum,reticulatum,,,,,"(Müller, 1774)",,網紋野蛞蝓,1,1,0,,,,
342196,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hymenoptera,膜翅目,Ichneumonidae,姬蜂科,Diadegma,,Diadegma semiclausum,semiclausum,,,,,"(Hellen, 1949)",,半閉彎尾姬蜂,1,1,0,,,,
403972,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hemiptera,半翅目,Liviidae,扁木蝨科,Diaphorina,,Diaphorina citri,citri,,,,,"Kuwayama, 1908",,,1,1,0,,,,
348874,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Thysanoptera,纓翅目,Thripidae,薊馬科,Dichromothrips,,Dichromothrips corbetti,corbetti,,,,,"(Priesner, 1936)",,蘭花薊馬,1,1,0,,,,
340399,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hemiptera,半翅目,Pseudococcidae,粉介殼蟲科,Dysmicoccus,,Dysmicoccus brevipes,brevipes,,,,,"(Cockerell, 1893)",,鳳梨嫡粉介殼蟲;菠蘿灰粉蚧,1,1,0,,,,
440718,Animalia,動物界,Chordata,脊索動物門,Amphibia,兩生綱,Anura,無尾目,Eleutherodactylidae,溫室蟾科,Eleutherodactylus,,Eleutherodactylus planirostris,planirostris,,,,,"(Cope, 1862)",,溫室蟾;溫室卵齒蟾;平吻卵齒蟾;古巴平吻蟾,1,1,0,,,LC,
418180,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hymenoptera,膜翅目,Aphelinidae,蚜小蜂科,Encarsia,,Encarsia guadeloupae,guadeloupae,,,,,"Viggiani, 1987",,歌德恩蚜小蜂;哥德恩蚜小蜂,1,1,0,,,,
419432,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Psittaciformes,鸚形目,Psittacidae,鸚鵡科,Eos,,Eos bornea,bornea,,,,,"(Linnaeus, 1758)",,紅色吸蜜鸚鵡;紅伶,1,1,0,,,LC,
401546,Animalia,動物界,Arthropoda,節肢動物門,Arachnida,蛛形綱,Trombidiformes,絨蟎目,Tetranychidae,葉蟎科,Eotetranychus,,Eotetranychus lewisi,lewisi,,,,,"(McGregor, 1943)",,路易氏始葉蟎,1,1,0,,,,
433046,Animalia,動物界,Arthropoda,節肢動物門,Malacostraca,軟甲綱,Decapoda,十足目,Varunidae,弓蟹科,Eriocheir,,Eriocheir sinensis,sinensis,,,,,"H. Milne Edwards, 1853",,中華絨螯蟹,1,1,0,,,,
345470,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Lepidoptera,鱗翅目,Hesperiidae,弄蝶科,Erionota,,Erionota torus,torus,,,,,"Evans, 1941",,蕉弄蝶;巨弄蝶;黃斑蕉弄蝶;香蕉弄蝶;蕉挵蝶,1,1,0,,,,
419420,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Estrildidae,梅花雀科,Estrilda,,Estrilda astrild,astrild,,,,,"(Linnaeus, 1758)",,橫斑梅花雀,1,1,0,,,LC,
404584,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Estrildidae,梅花雀科,Estrilda,,Estrilda melpoda melpoda,melpoda,,melpoda,,,"(Vieillot, 1817)",,橙頰梅花雀,1,1,0,,,LC,
419848,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Estrildidae,梅花雀科,Euodice,,Euodice malabarica,malabarica,,,,,"(Linnaeus, 1758)",,白喉文鳥;印度銀嘴文鳥,1,1,0,,,LC,
422619,Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Scincidae,石龍子科,Eutropis,,Eutropis multifasciata,multifasciata,,,,,"(Kunl, 1820)",,多線真稜蜥;多線南蜥;多紋南蜥,1,1,0,,,LC,
416423,Animalia,動物界,Chordata,脊索動物門,Amphibia,兩生綱,Anura,無尾目,Dicroglossidae,叉舌蛙科,Fejervarya,,Fejervarya cancrivora,cancrivora,,,,,"(Gravenhorst, 1829)",,海蛙;海陸蛙;食蟹蛙;紅樹林蛙,1,1,0,,,LC,
